Estados;Próstata;Mama Feminina;Cólon e Reto;Traquéia, Brônquio e Pulmão;Estômago;Colo do Útero;Cavidade Oral
Acre;120;100;50;100;90;90;20
Amapá;100;70;20;50;80;90;30
Amazonas;480;450;210;320;380;580;100
Pará;930;780;470;560;860;780;220
Rondônia;310;220;130;180;120;130;60
Roraima;70;60;30;30;30;50;20
Tocantins;760;290;170;220;100;220;60
Alagoas;890;620;230;250;160;300;190
Bahia;6.130;3.460;1.480;1.170;1.150;1.090;750
Ceará;3.330;2.510;1.090;1.290;1.270;1.010;640
Maranhão;1.850;840;450;470;440;890;170
Paraíba;1.740;1.120;440;490;430;290;380
Pernambuco;2.630;2.390;960;1.120;830;730;550
Piauí;1.370;590;330;320;180;390;130
Rio Grande do Norte;1.570;1.130;470;420;450;310;300
Sergipe;1.060;530;310;230;180;240;190
Distrito Federal;840;730;490;420;240;260;150
Goiás;2.240;1.620;1.160;940;550;590;460
Mato Grosso;1.030;560;330;320;220;200;150
Mato Grosso do Sul;1.240;850;540;460;310;270;220
Espírito Santo;1.380;790;520;530;390;240;300
Minas Gerais;6.420;8.250;4.000;2.990;2.460;1.270;1.620
Rio de Janeiro;6.440;9.150;5.070;2.930;1.660;1.640;1.560
São Paulo;13.650;18.280;14.670;6.890;4.880;2.250;4.300
Paraná;3.560;3.470;2.480;1.990;1.390;990;910
Rio Grande do Sul;3.980;4.050;2.540;3.740;1.090;720;660
Santa Catarina;1.720;3.370;2.350;1.770;1.290;970;1.050
Brasil;65.840;66.280;40.990;30.200;21.230;16.590;15.190
