Estados;Sistema Nervoso Central;Leucemias;Esôfago;Linfoma não Hodgkin;Glândula Tireoide;Bexiga;Laringe;Corpo do Útero
Acre;20;30;20;20;20;20;20;**
Amapá;20;30;20;20;20;20;20;**
Amazonas;150;180;50;90;60;40;90;90
Pará;220;320;140;140;120;110;100;70
Rondônia;70;70;50;40;40;40;40;20
Roraima;20;20;20;20;20;20;20;**
Tocantins;80;80;40;50;60;20;40;20
Alagoas;100;120;80;100;120;70;80;90
Bahia;640;540;690;510;520;470;450;350
Ceará;440;470;480;430;750;210;340;290
Maranhão;220;270;80;180;290;100;100;140
Paraíba;240;240;200;140;290;130;150;140
Pernambuco;530;480;400;330;390;280;280;280
Piauí;170;170;90;110;190;60;90;40
Rio Grande do Norte;160;250;170;210;260;150;170;120
Sergipe;90;100;70;100;100;80;70;70
Distrito Federal;190;220;130;130;90;60;120;100
Goiás;440;160;290;370;370;340;230;170
Mato Grosso;140;140;110;120;170;90;80;80
Mato Grosso do Sul;140;150;180;130;140;100;130;80
Espírito Santo;260;180;300;170;220;120;120;80
Minas Gerais;1.240;960;1.870;1.240;1.560;980;810;670
Rio de Janeiro;910;900;720;1.170;2.230;1.180;700;1.010
São Paulo;2.140;2.300;2.340;3.820;4.550;4.020;1.980;1.600
Paraná;810;720;900;690;440;620;470;480
Rio Grande do Sul;950;790;1.290;760;480;580;430;220
Santa Catarina;700;920;660;940;280;730;520;300
Brasil;11.090;10.810;11.390;12.030;13.780;10.640;7.650;6.540
