Estados;Pele Melanoma;Ovário;Linfoma de Hodgkin;Outras Localizações;Todas as Neoplasias, exceto Pele não Melanoma;Pele não Melanoma;Todas as Neoplasias Malignas
Acre;20;**;20;180;960;280;1.240
Amapá;20;**;20;150;800;60;860
Amazonas;30;80;40;740;4.160;1.090;5.250
Pará;50;120;30;1.570;7.590;1.660;9.250
Rondônia;30;30;20;500;2.100;990;3.090
Roraima;20;**;20;120;610;170;780
Tocantins;20;50;40;520;2.840;1.360;4.200
Alagoas;30;70;30;960;4.490;1.600;6.090
Bahia;220;380;60;4.580;24.640;7.940;32.580
Ceará;210;330;100;3.400;18.590;8.490;27.080
Maranhão;70;140;50;1.520;8.270;2.290;10.560
Paraíba;100;140;30;1.710;8.400;3.400;11.800
Pernambuco;140;300;90;4.050;16.760;5.770;22.530
Piauí;40;100;60;970;5.400;3.080;8.480
Rio Grande do Norte;140;140;40;1.530;7.990;3.150;11.140
Sergipe;50;90;40;690;4.290;1.660;5.950
Distrito Federal;50;110;30;1.190;5.550;3.110;8.660
Goiás;260;160;90;2.430;12.870;8.070;20.940
Mato Grosso;50;50;40;1.180;5.060;3.060;8.120
Mato Grosso do Sul;100;100;30;1.260;6.430;3.490;9.920
Espírito Santo;70;100;40;1.380;7.190;3.690;10.880
Minas Gerais;870;630;220;11.560;49.620;17.690;67.310
Rio de Janeiro;540;830;240;7.250;46.130;21.090;67.220
São Paulo;3.350;1.590;830;23.210;116.650;40.220;156.870
Paraná;540;390;190;5.620;26.660;8.390;35.050
Rio Grande do Sul;570;430;110;6.870;30.260;15.800;46.060
Santa Catarina;860;260;130;5.310;24.130;9.330;33.460
Brasil;8.450;6.650;2.640;90.450;448.440;176.930;625.370
